Name,Address,City,State,Zip Code,Phone Number,Full Address,Rating,Review Count,URL
Venue,1155 4th St,San Francisco,CA,94158,+1-415-701-8600,"1155 4th St,SoMa,San Francisco, CA 94158",3.5,6,http://www.yelp.com/biz/venue-san-francisco
Latitude 38 Housing Services,100 Pine St,San Francisco,CA,94111,+1-415-268-2261,"100 Pine St,Ste 1000,Financial District,San Francisco, CA 94111",3.0,22,http://www.yelp.com/biz/latitude-38-housing-services-san-francisco
388 Beale Luxury Apartment Homes,388 Beale St,San Francisco,CA,94105,+1-877-492-3121,"388 Beale St,SoMa,San Francisco, CA 94105",4.0,60,http://www.yelp.com/biz/388-beale-luxury-apartment-homes-san-francisco
Ellesmere Apts,655 Powell St,San Francisco,CA,94108,+1-415-362-6156,"655 Powell St,Nob Hill,San Francisco, CA 94108",4.5,4,http://www.yelp.com/biz/ellesmere-apts-san-francisco
Imperial Apartments,1515 Sutter Street,San Francisco,CA,94109,+1-415-567-0683,"1515 Sutter Street,Japantown,San Francisco, CA 94109",3.5,3,http://www.yelp.com/biz/imperial-apartments-san-francisco
Preston Apartments,2402 California St,San Francisco,CA,94115,+1-415-923-1094,"2402 California St,Pacific Heights,San Francisco, CA 94115",4.0,4,http://www.yelp.com/biz/preston-apartments-san-francisco
1700 California St,1700 California St,San Francisco,CA,94109,+1-415-771-1990,"1700 California St,Pacific Heights,San Francisco, CA 94109",5.0,1,http://www.yelp.com/biz/1700-california-st-san-francisco
Nob Hill Chateau - Rent SF Suites,795 Pine St,San Francisco,CA,94108,+1-415-678-5680,"795 Pine St,Chinatown,San Francisco, CA 94108",4.0,6,http://www.yelp.com/biz/nob-hill-chateau-rent-sf-suites-san-francisco
Mosso,900 Folsom St,San Francisco,CA,94107,+1-855-512-3102,"900 Folsom St,SoMa,San Francisco, CA 94107",3.0,34,http://www.yelp.com/biz/mosso-san-francisco
AVA Nob Hill,965 Sutter St,San Francisco,CA,94109,+1-415-354-4507,"965 Sutter St,Lower Nob Hill,San Francisco, CA 94109",3.0,35,http://www.yelp.com/biz/ava-nob-hill-san-francisco-2
Bennett Lofts,530 Brannan Street Suite 102,San Francisco,CA,94107,+1-866-687-9535,"530 Brannan Street Suite 102,Ste 102,SoMa,San Francisco, CA 94107",4.5,4,http://www.yelp.com/biz/bennett-lofts-san-francisco
Avalon Sunset Towers,8 Locksley Ave,San Francisco,CA,94122,+1-415-745-3716,"8 Locksley Ave,Inner Sunset,San Francisco, CA 94122",3.5,12,http://www.yelp.com/biz/avalon-sunset-towers-san-francisco
Diamond Heights Village Association,115 Red Rock Way,San Francisco,CA,94131,+1-415-824-3535,"115 Red Rock Way,Diamond Heights,San Francisco, CA 94131",4.0,5,http://www.yelp.com/biz/diamond-heights-village-association-san-francisco-2
The Fillmore Center,1475 Fillmore St,San Francisco,CA,94115,+1-415-921-1969,"1475 Fillmore St,Western Addition,San Francisco, CA 94115",2.5,112,http://www.yelp.com/biz/the-fillmore-center-san-francisco-3
Potrero Launch Apartments,2235 Third Street,San Francisco,CA,94107,+1-415-626-3100,"2235 Third Street,Dogpatch,San Francisco, CA 94107",2.0,7,http://www.yelp.com/biz/potrero-launch-apartments-san-francisco-2
First Class Apartments,2190 Grove St,San Francisco,CA,94117,+1-626-297-1282,"2190 Grove St,NoPa,San Francisco, CA 94117",5.0,1,http://www.yelp.com/biz/first-class-apartments-san-francisco
Mount Sutro Apartments,480 Warren Dr,San Francisco,CA,94131,+1-415-664-2822,"480 Warren Dr,Inner Sunset,San Francisco, CA 94131",3.5,15,http://www.yelp.com/biz/mount-sutro-apartments-san-francisco
Fox Plaza Apartments,Ste 107,San Francisco,CA,94102,+1-866-995-5278,"Ste 107,Civic Center,San Francisco, CA 94102",3.5,29,http://www.yelp.com/biz/fox-plaza-apartments-san-francisco
Terra Vista Apartments,22 Terra Vista Avenue,San Francisco,CA,94115,+1-415-567-3664,"22 Terra Vista Avenue,Anza Vista,San Francisco, CA 94115",4.5,2,http://www.yelp.com/biz/terra-vista-apartments-san-francisco-2
CoronaHeights,287 States St,San Francisco,CA,94114,+1-415-626-5255,"287 States St,Corona Heights,San Francisco, CA 94114",5.0,2,http://www.yelp.com/biz/coronaheights-san-francisco
Northpoint Apartments,2211 Stockton St,San Francisco,CA,94133,+1-415-989-6563,"2211 Stockton St,North Beach/Telegraph Hill,San Francisco, CA 94133",3.0,35,http://www.yelp.com/biz/northpoint-apartments-san-francisco
BanCal Property Management,220 Jackson St,San Francisco,CA,94111,+1-415-397-1044,"220 Jackson St,Ste 300,Financial District,San Francisco, CA 94111",4.5,10,http://www.yelp.com/biz/bancal-property-management-san-francisco
Baker Beach Apartments,1504 Pershing Drive,San Francisco,CA,94129,+1-415-379-6840,"1504 Pershing Drive,Unit E,Presidio,San Francisco, CA 94129",3.0,11,http://www.yelp.com/biz/baker-beach-apartments-san-francisco
eaves Diamond Heights,5285 Diamond Heights Blvd,San Francisco,CA,94131,+1-415-354-4501,"5285 Diamond Heights Blvd,Noe Valley,San Francisco, CA 94131",3.0,18,http://www.yelp.com/biz/eaves-diamond-heights-san-francisco
SOMA At 788 Apartments,788 Harrison St,San Francisco,CA,94107,+1-415-956-7100,"788 Harrison St,SoMa,San Francisco, CA 94107",3.0,20,http://www.yelp.com/biz/soma-at-788-apartments-san-francisco
Green Street Apartments Telegraph hill,376-380 Green St,San Francisco,CA,94133,+1-925-588-5173,"376-380 Green St,North Beach/Telegraph Hill,San Francisco, CA 94133",5.0,1,http://www.yelp.com/biz/green-street-apartments-telegraph-hill-san-francisco
Linda Vista Apartments,3809 20th Street,San Francisco,CA,94114,+1-415-695-9124,"3809 20th Street,Castro,San Francisco, CA 94114",4.0,1,http://www.yelp.com/biz/linda-vista-apartments-san-francisco
Candlestick Cove,301 Executive Park Blvd,San Francisco,CA,94134,+1-415-671-0490,"301 Executive Park Blvd,Bayview-Hunters Point,San Francisco, CA 94134",4.5,3,http://www.yelp.com/biz/candlestick-cove-san-francisco
Webster Tower & Terrace,1489 Webster St,San Francisco,CA,94115,+1-415-931-6300,"1489 Webster St,Ste 101,Fillmore,San Francisco, CA 94115",3.0,9,http://www.yelp.com/biz/webster-tower-and-terrace-san-francisco
Edgewater Luxury Apartment Homes,355 Berry Street,San Francisco,CA,94158,+1-877-600-8847,"355 Berry Street,SoMa,San Francisco, CA 94158",2.0,52,http://www.yelp.com/biz/edgewater-luxury-apartment-homes-san-francisco
Park Terrace At Mission Bay Owners Assn,325 Berry St,San Francisco,CA,94158,+1-415-974-6014,"325 Berry St,SoMa,San Francisco, CA 94158",5.0,3,http://www.yelp.com/biz/park-terrace-at-mission-bay-owners-assn-san-francisco
Keystone Apartments,1369 Hyde Street Apt 66,San Francisco,CA,94109,+1-415-771-9918,"1369 Hyde Street Apt 66,Nob Hill,San Francisco, CA 94109",4.0,1,http://www.yelp.com/biz/keystone-apartments-san-francisco
Bernal Gateway Apts,3101 Mission Street,San Francisco,CA,94110,+1-415-641-6129,"3101 Mission Street,Bernal Heights,San Francisco, CA 94110",5.0,1,http://www.yelp.com/biz/bernal-gateway-apts-san-francisco
Kirkham Heights Apartments,1555 5th Ave,San Francisco,CA,94122,+1-415-753-0157,"1555 5th Ave,Inner Sunset,San Francisco, CA 94122",3.5,8,http://www.yelp.com/biz/kirkham-heights-apartments-san-francisco
The Corinthian,512 Van Ness Ave,San Francisco,CA,94102,+1-415-655-9311,"512 Van Ness Ave,Civic Center,San Francisco, CA 94102",4.0,2,http://www.yelp.com/biz/the-corinthian-san-francisco
The Baycrest Towers,201 Harrison St,San Francisco,CA,94105,+1-415-543-1135,"201 Harrison St,SoMa,San Francisco, CA 94105",3.0,9,http://www.yelp.com/biz/the-baycrest-towers-san-francisco
Trinity Towers Apartments,888 O'Farrell St,San Francisco,CA,94109,+1-415-885-3333,"888 O'Farrell St,Tenderloin,San Francisco, CA 94109",3.0,12,http://www.yelp.com/biz/trinity-towers-apartments-san-francisco-2
Alhambra Apartments,860 Geary Street,San Francisco,CA,94109,+1-415-771-3955,"860 Geary Street,Lower Nob Hill,San Francisco, CA 94109",4.0,4,http://www.yelp.com/biz/alhambra-apartments-san-francisco
SoMa Square Apartments,One Saint Francis Pl,San Francisco,CA,94107,+1-415-284-3000,"One Saint Francis Pl,SoMa,San Francisco, CA 94107",2.5,23,http://www.yelp.com/biz/soma-square-apartments-san-francisco
101 Lombard Condominiums,101 Lombard Street,San Francisco,CA,94111,+1-415-956-8101,"101 Lombard Street,North Beach/Telegraph Hill,San Francisco, CA 94111",5.0,2,http://www.yelp.com/biz/101-lombard-condominiums-san-francisco
1190 Mission at Trinity Place,1190 Mission St,San Francisco,CA,94103,+1-415-861-3333,"1190 Mission St,SoMa,San Francisco, CA 94103",2.0,43,http://www.yelp.com/biz/1190-mission-at-trinity-place-san-francisco
The Pinnacle at Nob Hill Apartments,899 Pine St,San Francisco,CA,94108,+1-415-421-1899,"899 Pine St,Nob Hill,San Francisco, CA 94108",2.5,6,http://www.yelp.com/biz/the-pinnacle-at-nob-hill-apartments-san-francisco
San Francisco Suites,710 Powell St,San Francisco,CA,94108,+1-415-433-9700,"710 Powell St,Chinatown,San Francisco, CA 94108",5.0,1,http://www.yelp.com/biz/san-francisco-suites-san-francisco
Cubix,766 Harrison St,San Francisco,CA,94107,+1-877-282-4973,"766 Harrison St,SoMa,San Francisco, CA 94107",3.0,5,http://www.yelp.com/biz/cubix-san-francisco
The Comstock Apartment Corporation,1333 Jones Street,San Francisco,CA,94109,+1-415-771-1333,"1333 Jones Street,Nob Hill,San Francisco, CA 94109",5.0,3,http://www.yelp.com/biz/the-comstock-apartment-corporation-san-francisco
Bluxome Place,1 Bluxome St,San Francisco,CA,94107,+1-415-764-1000,"1 Bluxome St,SoMa,San Francisco, CA 94107",3.5,5,http://www.yelp.com/biz/bluxome-place-san-francisco
Cornelia Suites,641 O Farrell St,San Francisco,CA,94109,+1-415-699-2459,"641 O Farrell St,Tenderloin,San Francisco, CA 94109",4.5,3,http://www.yelp.com/biz/cornelia-suites-san-francisco
Apartments at 350 Union Street,350 Union St.,San Francisco,CA,94133,+1-415-421-4333,"350 Union St.,North Beach/Telegraph Hill,San Francisco, CA 94133",3.0,2,http://www.yelp.com/biz/apartments-at-350-union-street-san-francisco
Oceanview Village,8300 Oceanview Ter,San Francisco,CA,94132,+1-650-757-9675,"8300 Oceanview Ter,Ingleside Heights,San Francisco, CA 94132",5.0,1,http://www.yelp.com/biz/oceanview-village-san-francisco
St Stephen Apartments,1105 Bush Street,San Francisco,CA,94109,+1-415-771-6532,"1105 Bush Street,Lower Nob Hill,San Francisco, CA 94109",4.0,2,http://www.yelp.com/biz/st-stephen-apartments-san-francisco
Fontana East Apartment Corporation,1000 N Point Street,San Francisco,CA,94109,+1-415-771-0390,"1000 N Point Street,Russian Hill,San Francisco, CA 94109",3.5,3,http://www.yelp.com/biz/fontana-east-apartment-corporation-san-francisco
High Point Apartments,1888 Geneva Ave,San Francisco,CA,94134,+1-415-308-7225,"1888 Geneva Ave,Crocker-Amazon,San Francisco, CA 94134",3.5,8,http://www.yelp.com/biz/high-point-apartments-san-francisco
Gruber & Gruber Properties,1233 4th Ave,San Francisco,CA,94122,+1-415-661-7222,"1233 4th Ave,Inner Sunset,San Francisco, CA 94122",5.0,1,http://www.yelp.com/biz/gruber-and-gruber-properties-san-francisco
Mission Inn San Francisco,5630 Mission Street,San Francisco,CA,94112,+1-415-584-5020,"5630 Mission Street,Outer Mission,San Francisco, CA 94112",2.5,33,http://www.yelp.com/biz/mission-inn-san-francisco-san-francisco
Lakewood Apartments At Lake Merced,515 John Muir Dr,San Francisco,CA,94132,+1-415-586-0100,"515 John Muir Dr,Stonestown,San Francisco, CA 94132",2.5,22,http://www.yelp.com/biz/lakewood-apartments-at-lake-merced-san-francisco
Archstone,333 3rd,San Francisco,CA,94102,+1-415-633-8400,"333 3rd,SoMa,San Francisco, CA 94102",2.5,7,http://www.yelp.com/biz/archstone-san-francisco
Miguel Bustos,2757 Harrison,San Francisco,CA,94110,+1-415-206-1540,"2757 Harrison,Mission,San Francisco, CA 94110",5.0,1,http://www.yelp.com/biz/miguel-bustos-san-francisco
38 Dolores St,38 Dolores St,San Francisco,CA,94103,+1-415-992-1048,"38 Dolores St,Castro,San Francisco, CA 94103",1.5,3,http://www.yelp.com/biz/38-dolores-st-san-francisco
Jeanette Apartments,536 Leavenworth St,San Francisco,CA,94109,+1-415-409-6993,"536 Leavenworth St,Tenderloin,San Francisco, CA 94109",5.0,2,http://www.yelp.com/biz/jeanette-apartments-san-francisco
829 Folsom,829 Folsom St,San Francisco,CA,94107,+1-415-348-8290,"829 Folsom St,SoMa,San Francisco, CA 94107",5.0,2,http://www.yelp.com/biz/829-folsom-san-francisco
C-House,4201 Kirkham St,San Francisco,CA,94122,+1-415-566-2301,"4201 Kirkham St,Outer Sunset,San Francisco, CA 94122",5.0,1,http://www.yelp.com/biz/c-house-san-francisco
Jackson Towers,2040 Franklin Street,San Francisco,CA,94109,+1-415-775-3463,"2040 Franklin Street,Pacific Heights,San Francisco, CA 94109",5.0,1,http://www.yelp.com/biz/jackson-towers-san-francisco
Wharf Plaza Apartments A Partnership,150 Francisco Street,San Francisco,CA,94133,+1-415-362-3395,"150 Francisco Street,North Beach/Telegraph Hill,San Francisco, CA 94133",3.5,2,http://www.yelp.com/biz/wharf-plaza-apartments-a-partnership-san-francisco
North Point Vistas,2351 Powell St,San Francisco,CA,94133,+1-888-260-4055,"2351 Powell St,North Beach/Telegraph Hill,San Francisco, CA 94133",4.0,1,http://www.yelp.com/biz/north-point-vistas-san-francisco
Avalon Ocean Avenue,1200 Ocean Ave,San Francisco,CA,94112,+1-415-404-7453,"1200 Ocean Ave,Westwood Park,San Francisco, CA 94112",2.5,22,http://www.yelp.com/biz/avalon-ocean-avenue-san-francisco-2
Parc Telegraph Security,240 Lombard St Ofc,San Francisco,CA,94111,+1-415-788-0807,"240 Lombard St Ofc,SoMa,San Francisco, CA 94111",5.0,5,http://www.yelp.com/biz/parc-telegraph-security-san-francisco
Monroe Residence Club,1870 Sacramento St,San Francisco,CA,94109,+1-415-474-6200,"1870 Sacramento St,Pacific Heights,San Francisco, CA 94109",2.5,7,http://www.yelp.com/biz/monroe-residence-club-san-francisco-2
MB360,701 China Basin,San Francisco,CA,94158,+1-866-957-6568,"701 China Basin,SoMa,San Francisco, CA 94158",4.0,9,http://www.yelp.com/biz/mb360-san-francisco
Villa Nob Hill,1124 Leavenworth St,San Francisco,CA,94109,+1-415-505-2504,"1124 Leavenworth St,Nob Hill,San Francisco, CA 94109",3.0,2,http://www.yelp.com/biz/villa-nob-hill-san-francisco
861 Sutter St,Lower Nob Hill,San Francisco,CA,94109,+1-415-992-1048,"Lower Nob Hill,San Francisco, CA 94109",3.5,2,http://www.yelp.com/biz/861-sutter-st-san-francisco
Book Concern Building,83 McAllister St,San Francisco,CA,94102,+1-415-861-0333,"83 McAllister St,Tenderloin,San Francisco, CA 94102",4.0,6,http://www.yelp.com/biz/book-concern-building-san-francisco-2
Nob Hill Tower,1221 Jones St,San Francisco,CA,94102,+1-415-992-1048,"1221 Jones St,Nob Hill,San Francisco, CA 94102",2.5,3,http://www.yelp.com/biz/nob-hill-tower-san-francisco
Chestnut Place,900 Chestnut St,San Francisco,CA,94109,+1-415-441-5668,"900 Chestnut St,Russian Hill,San Francisco, CA 94109",4.0,1,http://www.yelp.com/biz/chestnut-place-san-francisco
Sakura Apartments,1890 Sutter St,San Francisco,CA,94115,+1-415-346-5861,"1890 Sutter St,Japantown,San Francisco, CA 94115",2.0,2,http://www.yelp.com/biz/sakura-apartments-san-francisco
Alamo Square Apartments,1200 Fulton Street,San Francisco,CA,94117,+1-415-563-7346,"1200 Fulton Street,Alamo Square,San Francisco, CA 94117",3.0,2,http://www.yelp.com/biz/alamo-square-apartments-san-francisco
333 Fremont,333 Fremont St,San Francisco,CA,94105,+1-415-760-0085,"333 Fremont St,Ste 101,SoMa,San Francisco, CA 94105",3.0,18,http://www.yelp.com/biz/333-fremont-san-francisco
VENN,1844 Market St,San Francisco,CA,94102,+1-877-669-1751,"1844 Market St,Hayes Valley,San Francisco, CA 94102",2.0,5,http://www.yelp.com/biz/venn-san-francisco
Opera Hotel Apartments,145 Fell St,San Francisco,CA,94102,+1-415-252-7296,"145 Fell St,Hayes Valley,San Francisco, CA 94102",2.5,2,http://www.yelp.com/biz/opera-hotel-apartments-san-francisco
Etta Apartments,1285 Sutter St,San Francisco,CA,94109,+1-415-345-1970,"1285 Sutter St,Lower Nob Hill,San Francisco, CA 94109",3.5,2,http://www.yelp.com/biz/etta-apartments-san-francisco
Chung Investments,835 Washington Street,San Francisco,CA,94108,+1-415-982-8724,"835 Washington Street,Chinatown,San Francisco, CA 94108",3.0,4,http://www.yelp.com/biz/chung-investments-san-francisco
Avenuewest Corporate Housing,2525 Van Ness Ave,San Francisco,CA,94109,+1-415-931-1430,"2525 Van Ness Ave,Marina/Cow Hollow,San Francisco, CA 94109",5.0,1,http://www.yelp.com/biz/avenuewest-corporate-housing-san-francisco
Broadmoor,1499 Sutter St,San Francisco,CA,94109,+1-415-771-9119,"1499 Sutter St,Lower Pacific Heights,San Francisco, CA 94109",5.0,1,http://www.yelp.com/biz/broadmoor-san-francisco
Park Lane Apartments,1100 Sacramento Street Ofc,San Francisco,CA,94108,+1-415-441-9727,"1100 Sacramento Street Ofc,SoMa,San Francisco, CA 94108",3.0,2,http://www.yelp.com/biz/park-lane-apartments-san-francisco
A Friendly Hotel,182 Carl St,San Francisco,CA,94117,+1-650-223-4481,"182 Carl St,Cole Valley,San Francisco, CA 94117",5.0,1,http://www.yelp.com/biz/a-friendly-hotel-san-francisco
1474 Sacramento St,Apt 101,San Francisco,CA,94109,+1-415-992-1048,"Apt 101,Nob Hill,San Francisco, CA 94109",2.5,3,http://www.yelp.com/biz/1474-sacramento-st-san-francisco
The Landmark Union Square,333 Grant Ave,San Francisco,CA,94108,+1-415-391-7233,"333 Grant Ave,Union Square,San Francisco, CA 94108",2.0,1,http://www.yelp.com/biz/the-landmark-union-square-san-francisco
Hayes Valley Properties,447 Ivy St,San Francisco,CA,94102,+1-415-863-6262,"447 Ivy St,Hayes Valley,San Francisco, CA 94102",2.5,3,http://www.yelp.com/biz/hayes-valley-properties-san-francisco
The Negev Folsom,1040 Folsom St,San Francisco,CA,94103,+1-347-296-6929,"1040 Folsom St,SoMa,San Francisco, CA 94103",5.0,2,http://www.yelp.com/biz/the-negev-folsom-san-francisco
Casa Sanchez Apartments,407 Sanchez Street,San Francisco,CA,94114,+1-415-431-1380,"407 Sanchez Street,Castro,San Francisco, CA 94114",2.5,2,http://www.yelp.com/biz/casa-sanchez-apartments-san-francisco
Pacific Place Owners Association,1800 Washington St,San Francisco,CA,94109,+1-415-885-0799,"1800 Washington St,Apt 515,Pacific Heights,San Francisco, CA 94109",4.0,1,http://www.yelp.com/biz/pacific-place-owners-association-san-francisco
Lovely Direct,514 Bryant St,San Francisco,CA,94107,+1-415-670-9061,"514 Bryant St,SoMa,San Francisco, CA 94107",4.5,9,http://www.yelp.com/biz/lovely-direct-san-francisco
